127.0.0.1 - - [25/Dec/2022:10:53:40 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [25/Dec/2022:11:09:48 +0530] "GET /MedicalProject/login.html HTTP/1.1" 200 1205
0:0:0:0:0:0:0:1 - - [25/Dec/2022:11:10:10 +0530] "GET /MedicalProject/login.html HTTP/1.1" 200 1205
0:0:0:0:0:0:0:1 - - [25/Dec/2022:11:11:18 +0530] "GET /MedicalProject/login.html HTTP/1.1" 200 1179
0:0:0:0:0:0:0:1 - - [25/Dec/2022:11:11:59 +0530] "GET /MedicalProject/login.html HTTP/1.1" 200 1205
0:0:0:0:0:0:0:1 - - [25/Dec/2022:11:12:19 +0530] "GET /MedicalProject/login.html HTTP/1.1" 200 1205
0:0:0:0:0:0:0:1 - - [25/Dec/2022:11:12:50 +0530] "GET /MedicalProject/login.html HTTP/1.1" 200 1205
0:0:0:0:0:0:0:1 - - [25/Dec/2022:11:13:44 +0530] "GET /MedicalProject/login.html HTTP/1.1" 200 1205
0:0:0:0:0:0:0:1 - - [25/Dec/2022:11:14:06 +0530] "GET /MedicalProject/login.html HTTP/1.1" 200 1205
0:0:0:0:0:0:0:1 - - [25/Dec/2022:11:14:49 +0530] "GET /MedicalProject/login.html HTTP/1.1" 200 1206
0:0:0:0:0:0:0:1 - - [25/Dec/2022:11:15:00 +0530] "GET /MedicalProject/login.html HTTP/1.1" 200 1205
0:0:0:0:0:0:0:1 - - [25/Dec/2022:11:16:05 +0530] "GET /MedicalProject/login.html HTTP/1.1" 200 1191
0:0:0:0:0:0:0:1 - - [25/Dec/2022:11:16:06 +0530] "GET /MedicalProject/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2022:11:16:06 +0530] "GET /MedicalProject/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2022:11:16:07 +0530] "GET /MedicalProject/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2022:11:17:05 +0530] "GET /MedicalProject/login.html HTTP/1.1" 200 1183
0:0:0:0:0:0:0:1 - - [25/Dec/2022:11:23:17 +0530] "GET /MedicalProject/login.html HTTP/1.1" 200 1327
0:0:0:0:0:0:0:1 - - [25/Dec/2022:11:23:36 +0530] "GET /MedicalProject/login.html HTTP/1.1" 200 1325
0:0:0:0:0:0:0:1 - - [25/Dec/2022:11:25:30 +0530] "GET /MedicalProject/login.html HTTP/1.1" 200 1310
0:0:0:0:0:0:0:1 - - [25/Dec/2022:11:26:27 +0530] "GET /MedicalProject/login.html HTTP/1.1" 200 1316
0:0:0:0:0:0:0:1 - - [25/Dec/2022:11:26:29 +0530] "GET /MedicalProject/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2022:11:27:07 +0530] "GET /MedicalProject/login.html HTTP/1.1" 200 1319
0:0:0:0:0:0:0:1 - - [25/Dec/2022:11:27:08 +0530] "GET /MedicalProject/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2022:11:27:58 +0530] "GET /MedicalProject/login.html HTTP/1.1" 200 1311
0:0:0:0:0:0:0:1 - - [25/Dec/2022:11:28:25 +0530] "GET /MedicalProject/login.html HTTP/1.1" 200 1319
0:0:0:0:0:0:0:1 - - [25/Dec/2022:11:29:15 +0530] "GET /MedicalProject/login.html HTTP/1.1" 200 1309
0:0:0:0:0:0:0:1 - - [25/Dec/2022:11:29:30 +0530] "GET /MedicalProject/login.html HTTP/1.1" 200 1309
0:0:0:0:0:0:0:1 - - [25/Dec/2022:11:35:00 +0530] "GET /MedicalProject/login.html HTTP/1.1" 200 1625
0:0:0:0:0:0:0:1 - - [25/Dec/2022:11:36:30 +0530] "GET /MedicalProject/login.html HTTP/1.1" 200 2044
0:0:0:0:0:0:0:1 - - [25/Dec/2022:11:39:16 +0530] "GET /MedicalProject/login.html HTTP/1.1" 200 2023
0:0:0:0:0:0:0:1 - - [25/Dec/2022:11:39:17 +0530] "GET /MedicalProject/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2022:12:05:43 +0530] "GET /MedicalProject/login.html HTTP/1.1" 200 1887
0:0:0:0:0:0:0:1 - - [25/Dec/2022:12:07:09 +0530] "GET /MedicalProject/login.html HTTP/1.1" 200 1869
0:0:0:0:0:0:0:1 - - [25/Dec/2022:12:08:12 +0530] "GET /MedicalProject/login.html HTTP/1.1" 200 1869
0:0:0:0:0:0:0:1 - - [25/Dec/2022:12:08:12 +0530] "GET /MedicalProject/login.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2022:12:08:16 +0530] "GET /MedicalProject/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2022:12:08:26 +0530] "GET /MedicalProject/login.html HTTP/1.1" 200 1869
0:0:0:0:0:0:0:1 - - [25/Dec/2022:12:08:41 +0530] "GET /MedicalProject/login.html HTTP/1.1" 200 1869
0:0:0:0:0:0:0:1 - - [25/Dec/2022:12:09:24 +0530] "GET /MedicalProject/login.html HTTP/1.1" 200 1885
0:0:0:0:0:0:0:1 - - [25/Dec/2022:12:09:24 +0530] "GET /MedicalProject/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2022:12:10:10 +0530] "GET /MedicalProject/login.html HTTP/1.1" 200 1885
0:0:0:0:0:0:0:1 - - [25/Dec/2022:12:21:30 +0530] "GET /MedicalProject/login.html HTTP/1.1" 200 2008
0:0:0:0:0:0:0:1 - - [25/Dec/2022:12:21:30 +0530] "GET /MedicalProject/google.png HTTP/1.1" 200 7789
0:0:0:0:0:0:0:1 - - [25/Dec/2022:12:22:18 +0530] "GET /MedicalProject/login.html HTTP/1.1" 200 2006
0:0:0:0:0:0:0:1 - - [25/Dec/2022:12:22:18 +0530] "GET /MedicalProject/google.p/ng HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [25/Dec/2022:12:22:59 +0530] "GET /MedicalProject/login.html HTTP/1.1" 200 2008
0:0:0:0:0:0:0:1 - - [25/Dec/2022:12:22:59 +0530] "GET /MedicalProject/google.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2022:12:26:26 +0530] "GET /MedicalProject/login.html HTTP/1.1" 200 2019
0:0:0:0:0:0:0:1 - - [25/Dec/2022:12:26:26 +0530] "GET /MedicalProject/google.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2022:12:27:26 +0530] "GET /MedicalProject/login.html HTTP/1.1" 200 2076
0:0:0:0:0:0:0:1 - - [25/Dec/2022:12:27:26 +0530] "GET /MedicalProject/google.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2022:12:27:27 +0530] "GET /MedicalProject/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2022:12:27:28 +0530] "GET /MedicalProject/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2022:12:28:00 +0530] "GET /MedicalProject/login.html HTTP/1.1" 200 2077
0:0:0:0:0:0:0:1 - - [25/Dec/2022:12:29:23 +0530] "GET /MedicalProject/login.html HTTP/1.1" 200 2093
0:0:0:0:0:0:0:1 - - [25/Dec/2022:12:29:23 +0530] "GET /MedicalProject/google.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2022:12:30:00 +0530] "GET /MedicalProject/login.html HTTP/1.1" 200 2085
0:0:0:0:0:0:0:1 - - [25/Dec/2022:12:30:29 +0530] "GET /MedicalProject/login.html HTTP/1.1" 200 2085
0:0:0:0:0:0:0:1 - - [25/Dec/2022:12:30:29 +0530] "GET /MedicalProject/google.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2022:12:30:39 +0530] "GET /MedicalProject/login.html HTTP/1.1" 200 2085
0:0:0:0:0:0:0:1 - - [25/Dec/2022:12:30:53 +0530] "GET /MedicalProject/login.html HTTP/1.1" 200 2085
0:0:0:0:0:0:0:1 - - [25/Dec/2022:12:31:59 +0530] "GET /MedicalProject/login.html HTTP/1.1" 200 2096
0:0:0:0:0:0:0:1 - - [25/Dec/2022:12:31:59 +0530] "GET /MedicalProject/google.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2022:12:32:00 +0530] "GET /MedicalProject/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2022:12:32:20 +0530] "GET /MedicalProject/login.html HTTP/1.1" 200 2088
0:0:0:0:0:0:0:1 - - [25/Dec/2022:12:32:21 +0530] "GET /MedicalProject/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2022:12:32:21 +0530] "GET /MedicalProject/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2022:12:33:05 +0530] "GET /MedicalProject/login.html HTTP/1.1" 200 2087
0:0:0:0:0:0:0:1 - - [25/Dec/2022:12:33:06 +0530] "GET /MedicalProject/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2022:12:33:06 +0530] "GET /MedicalProject/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2022:12:33:07 +0530] "GET /MedicalProject/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2022:12:33:50 +0530] "GET /MedicalProject/login.html HTTP/1.1" 200 2103
0:0:0:0:0:0:0:1 - - [25/Dec/2022:12:33:50 +0530] "GET /MedicalProject/google.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2022:12:34:06 +0530] "GET /MedicalProject/login.html HTTP/1.1" 200 2103
0:0:0:0:0:0:0:1 - - [25/Dec/2022:12:34:24 +0530] "GET /MedicalProject/login.html HTTP/1.1" 200 2103
0:0:0:0:0:0:0:1 - - [25/Dec/2022:12:34:36 +0530] "GET /MedicalProject/login.html HTTP/1.1" 200 2102
0:0:0:0:0:0:0:1 - - [25/Dec/2022:12:35:02 +0530] "GET /MedicalProject/login.html HTTP/1.1" 200 2101
0:0:0:0:0:0:0:1 - - [25/Dec/2022:12:35:03 +0530] "GET /MedicalProject/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Dec/2022:12:35:03 +0530] "GET /MedicalProject/login.html HTTP/1.1" 304 -
